Generation,Strategy,Share,Mean,CI_lower,CI_upper,Population,Total_Generations,Mutation,SCB,Rounds,Repeats,Seed,Epsilon,payoffs
0,ALLC,0.207932,5.984,2.64597,9.32203,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
0,CAUTIOUS,0.173925,5.00533,2.21082,7.79984,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
0,CONTRITE,0.207839,5.98133,2.64479,9.31788,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
0,PAVLOV,0.207839,5.98133,2.64479,9.31788,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
0,GRIM,0.202465,5.82667,2.57633,9.077,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
1,ALLC,0.215155,5.98609,2.64679,9.32538,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
1,CAUTIOUS,0.150183,4.99541,2.20635,7.78447,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
1,CONTRITE,0.214976,5.98377,2.64576,9.32177,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
1,PAVLOV,0.214976,5.98377,2.64576,9.32177,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
1,GRIM,0.20471,5.84926,2.58611,9.11242,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
2,ALLC,0.22165,5.98799,2.64738,9.32859,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
2,CAUTIOUS,0.128837,4.98637,2.20209,7.77065,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
2,CONTRITE,0.221392,5.98598,2.64649,9.32547,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
2,PAVLOV,0.221392,5.98598,2.64649,9.32547,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
2,GRIM,0.206729,5.86984,2.59489,9.14479,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
3,ALLC,0.227423,5.98969,2.64779,9.3316,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
3,CAUTIOUS,0.10987,4.97824,2.19811,7.75837,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
3,CONTRITE,0.227092,5.98798,2.64703,9.32892,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
3,PAVLOV,0.227092,5.98798,2.64703,9.32892,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
3,GRIM,0.208523,5.88834,2.60268,9.174,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
4,ALLC,0.232498,5.99121,2.64805,9.33437,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
4,CAUTIOUS,0.093195,4.97101,2.19445,7.74757,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
4,CONTRITE,0.232103,5.98975,2.6474,9.33209,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
4,PAVLOV,0.232103,5.98975,2.6474,9.33209,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
4,GRIM,0.210101,5.90478,2.60953,9.20003,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
5,ALLC,0.236917,5.99254,2.64821,9.33688,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
5,CAUTIOUS,0.0786769,4.96465,2.19114,7.73816,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
5,CONTRITE,0.236465,5.9913,2.64765,9.33495,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
5,PAVLOV,0.236465,5.9913,2.64765,9.33495,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
5,GRIM,0.211475,5.91923,2.61548,9.22298,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
6,ALLC,0.240732,5.99371,2.64828,9.33913,200,50,0,0,150,10,7,0,"5.000000,3.000000,1.000000,0.000000"
