Generation,Strategy,Share,Mean,CI_lower,CI_upper,Population,Total_Generations,Mutation,SCB,Rounds,Repeats,Seed,Epsilon,payoffs
0,ALLC,0.204749,4.7472,2.09696,7.39744,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
0,CAUTIOUS,0.199706,4.63027,2.04551,7.21502,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
0,CONTRITE,0.205801,4.7716,2.10865,7.43455,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
0,PAVLOV,0.194386,4.50693,1.99164,7.02223,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
0,GRIM,0.195358,4.52947,1.99873,7.06021,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
1,ALLC,0.205283,4.68181,2.06763,7.29599,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
1,CAUTIOUS,0.19999,4.67628,2.06573,7.28683,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
1,CONTRITE,0.212376,4.81881,2.12954,7.50808,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
1,PAVLOV,0.189065,4.54179,2.00689,7.07669,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
1,GRIM,0.193286,4.6201,2.03839,7.20181,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
2,ALLC,0.207037,4.69558,2.07359,7.31757,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
2,CAUTIOUS,0.200531,4.6684,2.06217,7.27464,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
2,CONTRITE,0.217817,4.77508,2.10997,7.4402,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
2,PAVLOV,0.183727,4.52436,1.99911,7.04962,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
2,GRIM,0.190889,4.59807,2.02838,7.16776,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
3,ALLC,0.210022,4.75451,2.09984,7.40919,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
3,CAUTIOUS,0.200729,4.69157,2.07237,7.31078,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
3,CONTRITE,0.224019,4.82039,2.13001,7.51077,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
3,PAVLOV,0.180425,4.60271,2.03355,7.17187,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
3,GRIM,0.184805,4.53757,2.00163,7.07351,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
4,ALLC,0.214145,4.80756,2.12319,7.49192,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
4,CAUTIOUS,0.201057,4.72268,2.0859,7.35945,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
4,CONTRITE,0.229477,4.82987,2.13406,7.52567,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
4,PAVLOV,0.174759,4.56691,2.01774,7.11608,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
4,GRIM,0.180562,4.60672,2.0323,7.18114,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
5,ALLC,0.215832,4.77961,2.11037,7.44884,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
5,CAUTIOUS,0.201272,4.74734,2.0967,7.39797,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
5,CONTRITE,0.23547,4.8661,2.14988,7.58232,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
5,PAVLOV,0.170016,4.61356,2.03822,7.1889,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
5,GRIM,0.177411,4.65949,2.05503,7.26396,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
6,ALLC,0.21668,4.77472,2.10802,7.44142,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
6,CAUTIOUS,0.200335,4.73388,2.09059,7.37718,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
6,CONTRITE,0.241693,4.88172,2.15656,7.60688,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
6,PAVLOV,0.167291,4.67979,2.06743,7.29216,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
6,GRIM,0.174001,4.66463,2.0571,7.27217,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
7,ALLC,0.221277,4.85901,2.14555,7.57247,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
7,CAUTIOUS,0.201893,4.79507,2.11757,7.47258,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
7,CONTRITE,0.246291,4.84859,2.14184,7.55534,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
7,PAVLOV,0.163329,4.64537,2.05199,7.23876,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
7,GRIM,0.16721,4.57237,2.01636,7.12837,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
8,ALLC,0.223768,4.86921,2.14971,7.58871,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
8,CAUTIOUS,0.200459,4.78079,2.11099,7.45059,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
8,CONTRITE,0.254634,4.97811,2.19889,7.75733,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
8,PAVLOV,0.158274,4.66599,2.06091,7.27107,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
8,GRIM,0.162865,4.68987,2.06799,7.31175,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
9,ALLC,0.226889,4.89682,2.16191,7.63173,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
9,CAUTIOUS,0.200316,4.82602,2.13081,7.52124,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
9,CONTRITE,0.262105,4.97116,2.19551,7.74681,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
9,PAVLOV,0.153623,4.68754,2.07029,7.3048,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
9,GRIM,0.157069,4.65759,2.05364,7.26153,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
10,ALLC,0.22984,4.9035,2.16448,7.64251,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
10,CAUTIOUS,0.199911,4.83077,2.1326,7.52895,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
10,CONTRITE,0.268424,4.95725,2.18921,7.72529,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
10,PAVLOV,0.148974,4.69406,2.07294,7.31518,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
10,GRIM,0.152851,4.71055,2.07663,7.34447,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
11,ALLC,0.231735,4.91217,2.16781,7.65654,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
11,CAUTIOUS,0.19938,4.85905,2.14489,7.57322,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
11,CONTRITE,0.276072,5.01081,2.21245,7.80917,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
11,PAVLOV,0.144268,4.71811,2.0834,7.35282,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
11,GRIM,0.148545,4.73477,2.08675,7.38278,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
12,ALLC,0.232656,4.88965,2.15757,7.62173,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
12,CAUTIOUS,0.200663,4.90163,2.1635,7.63976,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
12,CONTRITE,0.281315,4.96278,2.19122,7.73433,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
12,PAVLOV,0.138835,4.68688,2.06922,7.30455,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
12,GRIM,0.146531,4.80425,2.1174,7.49111,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
13,ALLC,0.234867,4.94221,2.1808,7.70362,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
13,CAUTIOUS,0.199266,4.86159,2.14566,7.57753,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
13,CONTRITE,0.289266,5.03405,2.22218,7.84592,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
13,PAVLOV,0.133882,4.72102,2.08429,7.35775,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
13,GRIM,0.142719,4.76834,2.1015,7.43519,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
14,ALLC,0.238183,4.99196,2.20261,7.7813,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
14,CAUTIOUS,0.201106,4.96792,2.1923,7.74353,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
14,CONTRITE,0.293823,5.00002,2.20714,7.7929,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
14,PAVLOV,0.128687,4.73145,2.08867,7.37423,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
14,GRIM,0.138201,4.76662,2.10083,7.43241,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
15,ALLC,0.242162,5.00312,2.20725,7.79898,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
15,CAUTIOUS,0.200058,4.89527,2.16008,7.63047,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
15,CONTRITE,0.299391,5.01415,2.21312,7.81519,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
15,PAVLOV,0.123881,4.73713,2.0909,7.38336,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
15,GRIM,0.134508,4.78942,2.11034,7.46849,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
16,ALLC,0.244912,5.03153,2.21952,7.84354,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
16,CAUTIOUS,0.199768,4.96783,2.19182,7.74385,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
16,CONTRITE,0.305553,5.07743,2.24065,7.91421,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
16,PAVLOV,0.119604,4.8033,2.11986,7.48673,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
16,GRIM,0.130163,4.81431,2.12098,7.50764,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
17,ALLC,0.247234,5.01324,2.21096,7.81551,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
17,CAUTIOUS,0.199993,4.97172,2.19322,7.75021,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
17,CONTRITE,0.312455,5.07833,2.24074,7.91592,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
17,PAVLOV,0.113932,4.73064,2.08751,7.37377,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
17,GRIM,0.126386,4.82205,2.12373,7.52038,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
18,ALLC,0.25156,5.11569,2.25659,7.9748,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
18,CAUTIOUS,0.199459,5.01432,2.21173,7.81691,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
18,CONTRITE,0.319897,5.14748,2.27099,8.02397,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
18,PAVLOV,0.109316,4.82402,2.12855,7.51949,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
18,GRIM,0.119768,4.76447,2.09897,7.42998,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
19,ALLC,0.256429,5.16304,2.27715,8.04892,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
19,CAUTIOUS,0.199492,5.06583,2.23418,7.89747,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
19,CONTRITE,0.326719,5.173,2.28175,8.06426,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
19,PAVLOV,0.103645,4.80223,2.11861,7.48586,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
19,GRIM,0.113715,4.80901,2.11821,7.49981,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
20,ALLC,0.25867,5.13713,2.26476,8.0095,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
20,CAUTIOUS,0.19885,5.07626,2.23838,7.91414,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
20,CONTRITE,0.33283,5.18789,2.28822,8.08757,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
20,PAVLOV,0.100847,4.95514,2.18553,7.72475,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
20,GRIM,0.108803,4.87263,2.14533,7.59993,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
21,ALLC,0.261462,5.14464,2.2679,8.02137,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
21,CAUTIOUS,0.199432,5.10457,2.25062,7.95851,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
21,CONTRITE,0.338221,5.17211,2.28083,8.06339,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
21,PAVLOV,0.0968217,4.88654,2.15486,7.61822,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
21,GRIM,0.104064,4.86798,2.14285,7.59311,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
22,ALLC,0.262447,5.15599,2.27238,8.0396,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
22,CAUTIOUS,0.198886,5.12259,2.25828,7.9869,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
22,CONTRITE,0.344813,5.23677,2.30912,8.16441,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
22,PAVLOV,0.0933769,4.95389,2.18433,7.72344,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
22,GRIM,0.100476,4.95957,2.1829,7.73624,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
23,ALLC,0.265312,5.21269,2.29751,8.12786,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
23,CAUTIOUS,0.197867,5.12997,2.26105,7.99888,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
23,CONTRITE,0.352316,5.2686,2.32267,8.21453,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
23,PAVLOV,0.0889438,4.91159,2.16566,7.65753,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
23,GRIM,0.0955606,4.90413,2.15888,7.64938,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
24,ALLC,0.268057,5.22824,2.30384,8.15263,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
24,CAUTIOUS,0.196383,5.13588,2.26344,8.00833,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
24,CONTRITE,0.358405,5.26412,2.32033,8.20791,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
24,PAVLOV,0.0856496,4.98305,2.19682,7.76928,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
24,GRIM,0.0915057,4.95512,2.18081,7.72943,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
25,ALLC,0.270417,5.24434,2.31064,8.17805,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
25,CAUTIOUS,0.195952,5.1872,2.28576,8.08863,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
25,CONTRITE,0.363948,5.27898,2.3266,8.23137,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
25,PAVLOV,0.0823899,5.00074,2.20448,7.79699,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
25,GRIM,0.0872933,4.95927,2.18238,7.73616,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
26,ALLC,0.270981,5.24606,2.31109,8.18103,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
26,CAUTIOUS,0.194661,5.20064,2.29139,8.10988,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
26,CONTRITE,0.372471,5.35774,2.36084,8.35464,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
26,PAVLOV,0.07835,4.97843,2.19421,7.76266,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
26,GRIM,0.0835367,5.00984,2.20431,7.81538,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
27,ALLC,0.275852,5.30137,2.33506,8.26767,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
27,CAUTIOUS,0.193496,5.17658,2.28055,8.07262,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
27,CONTRITE,0.375711,5.25306,2.31438,8.19174,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
27,PAVLOV,0.075799,5.0382,2.22046,7.85594,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
27,GRIM,0.0791426,4.93383,2.17051,7.69715,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
28,ALLC,0.281655,5.30705,2.33731,8.27679,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
28,CAUTIOUS,0.193321,5.193,2.28733,8.09867,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
28,CONTRITE,0.377691,5.2251,2.30199,8.14822,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
28,PAVLOV,0.0715571,4.90683,2.16223,7.65144,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
28,GRIM,0.0757764,4.97663,2.18903,7.76422,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
29,ALLC,0.286109,5.37087,2.36528,8.37646,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
29,CAUTIOUS,0.191207,5.22946,2.30308,8.15584,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
29,CONTRITE,0.384042,5.37616,2.36783,8.3845,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
29,PAVLOV,0.0670269,4.95252,2.18199,7.72306,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
29,GRIM,0.0716145,4.99686,2.19762,7.79611,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
30,ALLC,0.287259,5.33189,2.34747,8.31631,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
30,CAUTIOUS,0.189796,5.27134,2.3211,8.22159,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
30,CONTRITE,0.390076,5.39398,2.37557,8.41239,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
30,PAVLOV,0.0640727,5.07649,2.23592,7.91706,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
30,GRIM,0.0687973,5.10164,2.24303,7.96026,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
31,ALLC,0.290395,5.36819,2.36315,8.37324,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
31,CAUTIOUS,0.188695,5.27943,2.32439,8.23446,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
31,CONTRITE,0.394577,5.37149,2.36513,8.37785,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
31,PAVLOV,0.0610231,5.05746,2.22749,7.88744,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
31,GRIM,0.0653092,5.04097,2.21621,7.86573,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
32,ALLC,0.291778,5.37995,2.36806,8.39185,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
32,CAUTIOUS,0.188041,5.3359,2.34912,8.32267,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
32,CONTRITE,0.399195,5.41713,2.38507,8.44918,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
32,PAVLOV,0.0585397,5.13655,2.26188,8.01121,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
32,GRIM,0.0624462,5.11973,2.25061,7.98886,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
33,ALLC,0.29517,5.39988,2.37665,8.4231,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
33,CAUTIOUS,0.186762,5.3015,2.33363,8.26936,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
33,CONTRITE,0.402729,5.38506,2.37077,8.39936,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
33,PAVLOV,0.056203,5.12475,2.25637,7.99313,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
33,GRIM,0.0591366,5.05492,2.22212,7.88771,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
34,ALLC,0.299073,5.43765,2.39313,8.48217,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
34,CAUTIOUS,0.185749,5.33758,2.34922,8.32595,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
34,CONTRITE,0.406318,5.41451,2.38336,8.44567,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
34,PAVLOV,0.0532461,5.08434,2.23841,7.93026,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
34,GRIM,0.0556138,5.04699,2.21822,7.87576,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
35,ALLC,0.299905,5.40863,2.37986,8.43739,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
35,CAUTIOUS,0.185173,5.37691,2.36615,8.38766,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
35,CONTRITE,0.411233,5.45889,2.40255,8.51523,200,50,0,0,150,10,7,0.05,"5.000000,3.000000,1.000000,0.000000"
